Tanggal;Provinsi;Gejala Positif;Total
2021-04-27;JAWA TIMUR;Tidak ada;73404
2021-04-30;JAWA TIMUR;Tidak ada;73873
2021-05-01;JAWA TIMUR;Tidak ada;73989
2021-05-02;JAWA TIMUR;Tidak ada;74092
2021-05-04;JAWA TIMUR;Tidak ada;74344
2021-05-06;JAWA TIMUR;Tidak ada;74607
2021-05-08;JAWA TIMUR;Tidak ada;74836
2021-05-10;JAWA TIMUR;Tidak ada;75054
2021-05-13;JAWA TIMUR;Tidak ada;75380
2021-05-14;JAWA TIMUR;Tidak ada;75451
2021-05-16;JAWA TIMUR;Tidak ada;75624
2021-05-19;JAWA TIMUR;Tidak ada;75966
2021-05-25;JAWA TIMUR;Tidak ada;76670
2021-05-26;JAWA TIMUR;Tidak ada;76798
2021-05-29;JAWA TIMUR;Tidak ada;77158
2021-05-31;JAWA TIMUR;Tidak ada;77391
2021-06-02;JAWA TIMUR;Tidak ada;77623
2021-06-10;JAWA TIMUR;Tidak ada;78921
2021-06-12;JAWA TIMUR;Tidak ada;79321
2021-06-13;JAWA TIMUR;Tidak ada;79530
2021-03-24;KALIMANTAN BARAT;Tidak ada;2824
2021-03-28;KALIMANTAN BARAT;Tidak ada;2905
2021-04-07;KALIMANTAN BARAT;Tidak ada;3084
2021-04-12;KALIMANTAN BARAT;Tidak ada;3207
2021-04-15;KALIMANTAN BARAT;Tidak ada;3337
2021-04-16;KALIMANTAN BARAT;Tidak ada;3386
2021-04-17;KALIMANTAN BARAT;Tidak ada;3434
2021-04-18;KALIMANTAN BARAT;Tidak ada;3473
2021-04-19;KALIMANTAN BARAT;Tidak ada;3473
2021-04-20;KALIMANTAN BARAT;Tidak ada;3512
2021-04-21;KALIMANTAN BARAT;Tidak ada;3561
2021-04-22;KALIMANTAN BARAT;Tidak ada;3610
2021-04-23;KALIMANTAN BARAT;Tidak ada;3656
2021-04-24;KALIMANTAN BARAT;Tidak ada;3704
2021-04-25;KALIMANTAN BARAT;Tidak ada;3724
2021-04-26;KALIMANTAN BARAT;Tidak ada;3724
2021-04-27;KALIMANTAN BARAT;Tidak ada;3752
2021-04-30;KALIMANTAN BARAT;Tidak ada;3869
2021-05-01;KALIMANTAN BARAT;Tidak ada;3918
2021-05-02;KALIMANTAN BARAT;Tidak ada;3966
2021-05-04;KALIMANTAN BARAT;Tidak ada;4024
2021-05-06;KALIMANTAN BARAT;Tidak ada;4142
