"Tanggal","Provinsi","Rentang Usia","Jumlah"
"2021-05-04","JAWA TENGAH","0-5",5265
"2021-05-06","JAWA TENGAH","0-5",5283
"2021-05-08","JAWA TENGAH","0-5",5296
"2021-05-10","JAWA TENGAH","0-5",5318
"2021-05-13","JAWA TENGAH","0-5",5374
"2021-05-14","JAWA TENGAH","0-5",5381
"2021-05-16","JAWA TENGAH","0-5",5395
"2021-05-19","JAWA TENGAH","0-5",5425
"2021-05-25","JAWA TENGAH","0-5",5528
"2021-05-26","JAWA TENGAH","0-5",5539
"2021-05-29","JAWA TENGAH","0-5",5588
"2021-05-31","JAWA TENGAH","0-5",5627
"2021-06-02","JAWA TENGAH","0-5",5661
"2021-06-10","JAWA TENGAH","0-5",5889
"2021-06-12","JAWA TENGAH","0-5",5930
"2021-06-13","JAWA TENGAH","0-5",5990
"2021-03-24","JAWA TIMUR","0-5",2434
"2021-03-28","JAWA TIMUR","0-5",2458
"2021-04-07","JAWA TIMUR","0-5",2504
"2021-04-12","JAWA TIMUR","0-5",2524
"2021-04-15","JAWA TIMUR","0-5",2536
"2021-04-16","JAWA TIMUR","0-5",2538
"2021-04-17","JAWA TIMUR","0-5",2546
"2021-04-18","JAWA TIMUR","0-5",2551
"2021-04-19","JAWA TIMUR","0-5",2559
"2021-04-20","JAWA TIMUR","0-5",2565
"2021-04-21","JAWA TIMUR","0-5",2575
"2021-04-22","JAWA TIMUR","0-5",2578
"2021-04-23","JAWA TIMUR","0-5",2581
"2021-04-24","JAWA TIMUR","0-5",2586
"2021-04-25","JAWA TIMUR","0-5",2597
"2021-04-26","JAWA TIMUR","0-5",2600
"2021-04-27","JAWA TIMUR","0-5",2602
"2021-04-30","JAWA TIMUR","0-5",2620
"2021-05-01","JAWA TIMUR","0-5",2628
"2021-05-02","JAWA TIMUR","0-5",2630
"2021-05-04","JAWA TIMUR","0-5",2647
"2021-05-06","JAWA TIMUR","0-5",2658
"2021-05-08","JAWA TIMUR","0-5",2664
"2021-05-10","JAWA TIMUR","0-5",2673
"2021-05-13","JAWA TIMUR","0-5",2688
"2021-05-14","JAWA TIMUR","0-5",2689
"2021-05-16","JAWA TIMUR","0-5",2695
"2021-05-19","JAWA TIMUR","0-5",2708
"2021-05-25","JAWA TIMUR","0-5",2731
"2021-05-26","JAWA TIMUR","0-5",2738
"2021-05-29","JAWA TIMUR","0-5",2753
"2021-05-31","JAWA TIMUR","0-5",2763
"2021-06-02","JAWA TIMUR","0-5",2774
"2021-06-10","JAWA TIMUR","0-5",2840
"2021-06-12","JAWA TIMUR","0-5",2863
"2021-06-13","JAWA TIMUR","0-5",2870
"2021-03-24","KALIMANTAN BARAT","0-5",132
"2021-03-28","KALIMANTAN BARAT","0-5",135
"2021-04-07","KALIMANTAN BARAT","0-5",147
"2021-04-12","KALIMANTAN BARAT","0-5",151
"2021-04-15","KALIMANTAN BARAT","0-5",156
"2021-04-16","KALIMANTAN BARAT","0-5",161
"2021-04-17","KALIMANTAN BARAT","0-5",164
"2021-04-18","KALIMANTAN BARAT","0-5",167
"2021-04-19","KALIMANTAN BARAT","0-5",167
